root,surah,ayah,surah_name
ربح,2,16,بقره
بقل,2,61,بقره
قثء,2,61,بقره
فوم,2,61,بقره
عدس,2,61,بقره
بصل,2,61,بقره
فقع,2,69,بقره
وشي,2,71,بقره
ببل,2,102,بقره
هرت,2,102,بقره
مرت,2,102,بقره
مرو,2,158,بقره
نعق,2,171,بقره
رمض,2,185,بقره
وسن,2,255,بقره
ءود,2,255,بقره
فصم,2,256,بقره
سنه,2,259,بقره
صلد,2,264,بقره
طلل,2,265,بقره
غمض,2,267,بقره
لحف,2,273,بقره
خبط,2,275,بقره
رمز,3,41,آل عمران
ذخر,3,49,آل عمران
بهل,3,61,آل عمران
دنر,3,75,آل عمران
بكك,3,96,آل عمران
غزو,3,156,آل عمران
فظظ,3,159,آل عمران
حوب,4,2,نساء
عول,4,3,نساء
فضو,4,21,نساء
جبت,4,51,نساء
نضج,4,56,نساء
ثبو,4,71,نساء
بطء,4,72,نساء
ذيع,4,83,نساء
نبط,4,83,نساء
رغم,4,100,نساء
بتك,4,119,نساء
ذبذب,4,143,نساء
خنق,5,3,مائده
وقذ,5,3,مائده
نطح,5,3,مائده
ذكو,5,3,مائده
تيه,5,26,مائده
بحث,5,31,مائده
نفي,5,33,مائده
نهج,5,48,مائده
قسس,5,82,مائده
رمح,5,94,مائده
سيب,5,103,مائده
حير,6,71,انعام
نوي,6,95,انعام
قنو,6,99,انعام
ينع,6,99,انعام
ضءن,6,143,انعام
معز,6,143,انعام
شحم,6,146,انعام
ذءم,7,18,اعراف
ريش,7,26,اعراف
حثث,7,54,اعراف
نكد,7,58,اعراف
سهل,7,74,اعراف
قمل,7,133,اعراف
ضفدع,7,133,اعراف
جرر,7,150,اعراف
شمت,7,150,اعراف
سكت,7,154,اعراف
بجس,7,160,اعراف
نتق,7,171,اعراف
صمت,7,193,اعراف
شوك,8,7,انفال
زحف,8,15,انفال
حيز,8,16,انفال
مكو,8,35,انفال
شرد,8,57,انفال
كسد,9,24,توبه
وطن,9,25,توبه
نجس,9,28,توبه
ضهء,9,30,توبه
كوي,9,35,توبه
جبه,9,35,توبه
ثبط,9,46,توبه
جمح,9,57,توبه
سيء,9,102,توبه
جرف,9,109,توبه
خبر2,11,1,هود
زري,11,31,هود
بلع,11,44,هود
قلع,11,44,هود
حنذ,11,69,هود
روع,11,74,هود
طرح,12,9,یوسف
رتع,12,12,یوسف
درهم,12,20,یوسف
زهد,12,20,یوسف
غلق,12,23,یوسف
شغف,12,30,یوسف
خبز,12,36,یوسف
حصحص,12,51,یوسف
مير,12,65,یوسف
صوع,12,72,یوسف
فتء,12,85,یوسف
فند,12,94,یوسف
محل,13,13,رعد
جفء,13,17,رعد
جرع,14,17,ابراهیم
رمد,14,18,ابراهیم
فرع,14,24,ابراهیم
جثث,14,26,ابراهیم
لقح,15,22,حجر
فضح,15,68,حجر
عضو,15,91,حجر
دفء,16,5,نحل
بغل,16,8,نحل
دسس,16,59,نحل
فرث,16,66,نحل
حفد,16,72,نحل
جوو,16,79,نحل
ظعن,16,80,نحل
صوف,16,80,نحل
وبر,16,80,نحل
وكد,16,91,نحل
غزل,16,92,نحل
جوس,17,5,اسراء
نغض,17,51,اسراء
حنك,17,62,اسراء
وفر,17,63,اسراء
قصف,17,69,اسراء
دلك,17,78,اسراء
هجد,17,79,اسراء
خبو,17,97,اسراء
فجو,18,17,کهف
يقظ,18,18,کهف
وصد,18,18,کهف
سردق,18,29,کهف
بيد,18,35,کهف
وءل,18,58,کهف
قضض,18,77,کهف
عيب,18,79,کهف
غصب,18,79,کهف
ردم,18,95,کهف
شعل,19,4,مریم
قصي,19,22,مریم
مخض,19,23,مریم
حتم,19,71,مریم
ندي,19,73,مریم
ضدد,19,82,مریم
وفد,19,85,مریم
ءدد,19,89,مریم
هدد,19,90,مریم
ركز,19,98,مریم
ثري,20,6,طه
خلع,20,12,طه
نعل,20,12,طه
هشش,20,18,طه
سحل,20,39,طه
وني,20,42,طه
لحي,20,94,طه
زرق,20,102,طه
صفصف,20,106,طه
ءمت,20,107,طه
همس,20,108,طه
عني,20,111,طه
بلي,20,120,طه
ضنك,20,124,طه
زهر,20,131,طه
قصم,21,11,انبیاء
دمغ,21,18,انبیاء
رتق,21,30,انبیاء
فتق,21,30,انبیاء
كلء,21,42,انبیاء
نفح,21,46,انبیاء
فهم,21,79,انبیاء
نون,21,87,انبیاء
حدب,21,96,انبیاء
ذهل,22,2,حج
همد,22,5,حج
عطف,22,9,حج
مجس,22,17,حج
قمع,22,21,حج
ضمر,22,27,حج
عمق,22,27,حج
تفث,22,29,حج
وجب,22,36,حج
هدم,22,40,حج
صمع,22,40,حج
بءر,22,45,حج
سطو,22,72,حج
سلب,22,73,حج
لفح,23,104,مومنون
كلح,23,104,مومنون
ءيم,24,32,نور
ذعن,24,49,نور
حيف,24,50,نور
لوذ,24,63,نور
فلن,25,28,فرقان
فسر,25,33,فرقان
عبء,25,77,فرقان
ضير,26,50,شعراء
شرذم,26,54,شعراء
طود,26,63,شعراء
كبكب,26,94,شعراء
ريع,26,128,شعراء
فره,26,149,شعراء
بسم,27,19,نمل
هدهد,27,20,نمل
خبء,27,25,نمل
عفرت,27,39,نمل
جمد,27,88,نمل
تقن,27,88,نمل
وكز,28,15,قصص
ذود,28,23,قصص
جذو,28,29,قصص
بقع,28,30,قصص
فصح,28,34,قصص
ردء,28,34,قصص
قبح,28,42,قصص
نوء,28,76,قصص
خطط,29,48,عنکبوت
روم,30,2,روم
مسو,30,17,روم
صعر,31,18,لقمان
ختر,31,32,لقمان
جفو,32,16,سجده
جوف,33,4,احزاب
سلق,33,19,احزاب
نحب,33,23,احزاب
صيص,33,26,احزاب
